===================>......] - ETA: 96s - loss: 0.4327 - acc: 0.8364 
 21/140 [===>..........................] - ETA: 395s - loss: 0.4413 - acc: 0.8378
 22/140 [===>..........................] - ETA: 393s - loss: 0.4399 - acc: 0.8409
 23/140 [===>..........................] - ETA: 390s - loss: 0.4392 - acc: 0.8410
 24/140 [====>.........................] - ETA: 386s - loss: 0.4345 - acc: 0.8431
 25/140 [====>.........................] - ETA: 392s - loss: 0.4334 - acc: 0.8431
 26/140 [====>.........................] - ETA: 390s - loss: 0.4296 - acc: 0.8431
 27/140 [====>.........................] - ETA: 389s - loss: 0.4278 - acc: 0.8432
 28/140 [=====>........................] - ETA: 387s - loss: 0.4270 - acc: 0.8438
 29/140 [=====>........................] - ETA: 385s - loss: 0.4291 - acc: 0.8411
 30/140 [=====>........................] - ETA: 383s - loss: 0.4265 - acc: 0.8401
 31/140 [=====>........................] - ETA: 382s - loss: 0.4273 - acc: 0.8397
 32/140 [=====>........................] - ETA: 381s - loss: 0.4267 - acc: 0.8403
 33/140 [======>.......................] - ETA: 379s - loss: 0.4269 - acc: 0.8385
 34/140 [======>.......................] - ETA: 375s - loss: 0.4295 - acc: 0.8373
 35/140 [======>.......................] - ETA: 370s - loss: 0.4321 - acc: 0.8348
 36/140 [======>.......................] - ETA: 368s - loss: 0.4346 - acc: 0.8338
 37/140 [======>.......................] - ETA: 364s - loss: 0.4355 - acc: 0.8340
 38/140 [=======>......................] - ETA: 360s - loss: 0.4329 - acc: 0.8355
 39/140 [=======>......................] - ETA: 357s - loss: 0.4312 - acc: 0.8365
 40/140 [=======>......................] - ETA: 352s - loss: 0.4301 - acc: 0.8367
 41/140 [=======>......................] - ETA: 351s - loss: 0.4284 - acc: 0.8369
 42/140 [========>.....................] - ETA: 349s - loss: 0.4311 - acc: 0.8348
 43/140 [========>.....................] - ETA: 346s - loss: 0.4383 - acc: 0.8347
 44/140 [========>.....................] - ETA: 346s - loss: 0.4437 - acc: 0.8320
 45/140 [========>.....................] - ETA: 345s - loss: 0.4442 - acc: 0.8309
 46/140 [========>.....................] - ETA: 345s - loss: 0.4440 - acc: 0.8322
 47/140 [=========>....................] - ETA: 347s - loss: 0.4451 - acc: 0.8311
